Year,Month,Day,Max,Min
1921,1,1,5.85,3.05
1921,1,2,4.7,4.15
1921,1,3,6.4,2.2
1921,1,4,5.85,2.2
1921,1,5,5.55,0.85
1921,1,6,5.55,2.2
1921,1,7,3.6,0.85
1921,1,8,6.1,0.55
1921,1,9,6.1,1.65
1921,1,10,5.85,5.55
1921,1,11,3.35,1.4
1921,1,12,2.8,1.4
1921,1,13,2.2,0.55
1921,1,14,4.15,-1.1
1921,1,15,5.55,0
1921,1,16,5.55,3.9
1921,1,17,5.55,2.2
1921,1,18,4.15,3.9
1921,1,19,5,1.95
1921,1,20,5.55,1.95
1921,1,21,5.85,3.9
1921,1,22,3.6,2.8
1921,1,23,5.55,1.65
1921,1,24,5.85,2.5
1921,1,25,5.85,4.15
1921,1,26,5.3,3.6
1921,1,27,5.85,3.6
1921,1,28,6.1,4.7
1921,1,29,6.1,4.7
1921,1,30,2.8,1.4
1921,1,31,2.8,-0.85
1921,2,1,3.9,-0.85
1921,2,2,4.15,-0.3
1921,2,3,5.3,1.95
1921,2,4,5.3,3.35
1921,2,5,3.9,1.95
1921,2,6,3.35,-0.55
1921,2,7,2.5,0.85
1921,2,8,3.35,1.1
1921,2,9,3.9,-0.85
1921,2,10,1.95,-1.65
1921,2,11,3.05,-1.95
1921,2,12,3.9,-1.1
1921,2,13,4.15,0.85
1921,2,14,5.3,0.85
1921,2,15,4.7,3.35
1921,2,16,4.7,3.05
1921,2,17,5,3.05
1921,2,18,3.35,-0.55
1921,2,19,3.9,0.3
1921,2,20,3.05,1.95
1921,2,21,4.7,1.1
1921,2,22,5,1.95
1921,2,23,5.55,2.8
1921,2,24,5,1.95
1921,2,25,4.7,0.55
1921,2,26,5.3,-0.55
1921,2,27,5.3,-0.85
1921,2,28,4.7,2.2
1921,3,1,10.55,6.1
1921,3,2,8.05,0.6
1921,3,3,6.95,3.35
1921,3,4,10.55,8.6
1921,3,5,10.55,5.85
1921,3,6,6.65,2.2
1921,3,7,5,-5
1921,3,8,7.8,2.5
1921,3,9,10.85,7.75
1921,3,10,10.55,6.95
1921,3,11,10,0
1921,3,12,8.05,3.6
1921,3,13,9.15,4.75
1921,3,14,8.6,2.2
1921,3,15,10.25,5.25
1921,3,16,11.65,7.25
1921,3,17,10,4.15
1921,3,18,7.8,1.4
1921,3,19,8.3,5
1921,3,20,9.45,5.3
1921,3,21,10.55,8.6
1921,3,22,10.85,6.7
1921,3,23,10.8,7.5
1921,3,24,12.75,9.4
1921,3,25,10,6.4
1921,3,26,8.9,2.8
