Year,Month,Day,Max,Min
1884,9,30,13.3,NA
1884,10,1,13.3,10
1884,10,2,12.2,10
1884,10,3,11.7,10.6
1884,10,4,11.7,8.3
1884,10,5,16.1,10.6
1884,10,6,12.2,13.3
1884,10,7,11.1,11.1
1884,10,8,9.4,8.9
1884,10,9,7.8,6.1
1884,10,10,8.3,4.4
1884,10,11,8.9,4.4
1884,10,12,8.9,5.6
1884,10,13,11.7,6.1
1884,10,14,12.2,5
1884,10,15,12.8,9.4
1884,10,16,10,12.2
1884,10,17,12.8,10
1884,10,18,12.8,11.1
1884,10,19,11.7,12.2
1884,10,20,12.8,8.3
1884,10,21,12.8,11.1
1884,10,22,13.9,11.1
1884,10,23,11.7,10.6
1884,10,24,11.7,11.1
1884,10,25,12.8,4.4
1884,10,26,9.4,11.7
1884,10,27,12.2,7.2
1884,10,28,8.3,7.2
1884,10,29,10.6,6.7
1884,10,30,13.9,6.7
1884,10,31,12.2,11.1
1884,11,1,9.4,11.1
1884,11,2,7.2,8.3
1884,11,3,10.6,5.6
1884,11,4,11.1,5.6
1884,11,5,10,9.4
1884,11,6,8.9,9.4
1884,11,7,10.6,6.1
1884,11,8,11.7,6.7
1884,11,9,10.6,10.6
1884,11,10,11.7,7.8
1884,11,11,11.7,6.7
1884,11,12,11.1,11.1
1884,11,13,11.1,7.2
1884,11,14,9.4,7.2
1884,11,15,7.8,7.2
1884,11,16,7.2,5.6
1884,11,17,7.8,5.6
1884,11,18,5,-0.6
1884,11,19,7.8,1.1
1884,11,20,8.9,3.9
1884,11,21,5.6,5.6
1884,11,22,5,3.9
1884,11,23,7.2,3.3
1884,11,24,7.8,2.2
1884,11,25,7.2,0.6
1884,11,26,9.4,5
1884,11,27,9.4,6.1
1884,11,28,7.2,3.9
1884,11,29,8.9,4.4
1884,11,30,6.1,2.8
1884,12,1,10,1.1
1884,12,2,11.1,3.9
1884,12,3,7.2,5
1884,12,4,6.7,5
1884,12,5,10.6,3.3
1884,12,6,5.6,6.7
1884,12,7,8.9,5.6
1884,12,8,6.7,5
1884,12,9,9.4,2.8
1884,12,10,10,3.9
1884,12,11,10,7.8
1884,12,12,10.6,6.7
1884,12,13,10.6,8.3
1884,12,14,10,8.3
1884,12,15,10,8.3
1884,12,16,6.7,8.3
1884,12,17,8.9,1.1
1884,12,18,7.8,1.7
1884,12,19,8.3,2.8
1884,12,20,7.8,4.4
1884,12,21,8.3,5.6
1884,12,22,7.2,2.2
1884,12,23,3.9,0.6
1884,12,24,7.2,1.1
1884,12,25,6.7,4.4
1884,12,26,6.7,3.9
1884,12,27,6.1,4.4
1884,12,28,3.9,0.6
1884,12,29,8.9,0.6
1884,12,30,7.2,1.7
1884,12,31,8.3,2.8
1885,1,1,8.3,6.1
1885,1,2,10,6.1
1885,1,3,8.9,1.7
1885,1,4,10.6,2.2
1885,1,5,7.2,3.9
1885,1,6,7.2,3.9
1885,1,7,8.9,2.8
1885,1,8,7.2,3.9
1885,1,9,9.4,2.8
1885,1,10,8.3,2.8
1885,1,11,6.7,3.3
1885,1,12,6.1,2.2
1885,1,13,5,3.3
1885,1,14,5,0.6
1885,1,15,3.9,-2.2
