Year,Month,Day,Max,Min
1881,5,1,13.8,6.1
1881,5,2,13.2,3.4
1881,5,3,15,2.8
1881,5,4,14.3,7.6
1881,5,5,NA,NA
1881,5,6,18.4,2.1
1881,5,7,NA,NA
1881,5,8,19.3,3.7
1881,5,9,20.4,6.6
1881,5,10,17.7,4.3
1881,5,11,17.7,1.5
1881,5,12,17.8,0.9
1881,5,13,15.5,3.2
1881,5,14,16,9.9
1881,5,15,11.6,9.2
1881,5,16,13.8,7.6
1881,5,17,15.9,8.8
1881,5,18,14.1,10
1881,5,19,13.7,4.9
1881,5,20,14,8.3
1881,5,21,19.7,8.8
1881,5,22,19.4,9.9
1881,5,23,21.9,7.7
1881,5,24,20.4,11.3
1881,5,25,19.8,5.6
1881,5,26,18.7,9.9
1881,5,27,18.1,9.7
1881,5,28,17.6,NA
1881,5,29,18.4,9.9
1881,5,30,23.4,4
1881,5,31,24.7,7.1
1881,6,1,24,9.2
1881,6,2,20.3,6.7
1881,6,3,19.4,5.3
1881,6,4,16.1,12.8
1881,6,5,14.4,7.8
1881,6,6,12.9,6.4
1881,6,7,13.6,NA
1881,6,8,13.9,0.3
1881,6,9,16.1,0.3
1881,6,10,15.1,9.6
1881,6,11,15.9,8.2
1881,6,12,14.2,8.4
1881,6,13,17.7,10.4
1881,6,14,17.1,8.8
1881,6,15,17.1,10.4
1881,6,16,15.8,8.2
1881,6,17,14.5,7.1
1881,6,18,16.7,12.7
1881,6,19,17.8,11.8
1881,6,20,16.3,6.2
1881,6,21,15.8,11.6
1881,6,22,17.1,9.6
1881,6,23,16.1,9.6
1881,6,24,16,8.2
1881,6,25,17.7,11.6
1881,6,26,16.6,11
1881,6,27,15.4,11
1881,6,28,17.1,11
1881,6,29,17.4,12.1
1881,6,30,17.6,11.8
1881,7,1,16,11
1881,7,2,17.6,6.2
1881,7,3,19.3,11.6
1881,7,4,20.8,14.4
1881,7,5,21.6,13.2
1881,7,6,15.1,8.4
1881,7,7,15.7,10.7
1881,7,8,17.2,11.1
1881,7,9,16.5,6.8
1881,7,10,16.6,11.7
1881,7,11,18.8,13.8
1881,7,12,18.2,7.4
1881,7,13,17.7,14.9
1881,7,14,21,14.1
1881,7,15,17.8,13.2
1881,7,16,22.6,5.1
1881,7,17,20.7,12.2
1881,7,18,18.6,13.1
1881,7,19,18.3,10.8
1881,7,20,16.7,10.1
1881,7,21,15.7,5.5
1881,7,22,17.6,11.4
1881,7,23,18.2,12.7
1881,7,24,15.5,11
1881,7,25,16.4,8.3
1881,7,26,17.6,9.9
1881,7,27,19.9,4.5
1881,7,28,18.2,8.2
1881,7,29,19,12.8
1881,7,30,15.9,13
1881,7,31,17.3,8.8
1881,8,1,17.8,4.6
1881,8,2,17.9,4.9
1881,8,3,17.9,15.8
1881,8,4,22.1,16.1
1881,8,5,19.4,12.8
1881,8,6,19.8,12.1
1881,8,7,18.5,15.2
1881,8,8,18.2,12.2
1881,8,9,15.4,11.3
1881,8,10,17.1,11
1881,8,11,18.4,12.3
1881,8,12,18.3,8.6
1881,8,13,17.2,3.4
1881,8,14,16.2,9.9
1881,8,15,18.2,11.8
1881,8,16,16.5,12.1
1881,8,17,16.3,12
1881,8,18,17.6,11.4
1881,8,19,15.1,9.6
1881,8,20,17.8,5.2
1881,8,21,18.5,9.1
1881,8,22,17.3,5
1881,8,23,13.2,10.5
1881,8,24,16.7,8.4
1881,8,25,17.3,12.1
1881,8,26,16.4,10.8
1881,8,27,16.1,7.9
1881,8,28,16.1,8.5
1881,8,29,18.4,13.5
1881,8,30,15,11.1
1881,8,31,18.3,2.7
1881,9,1,19.1,4.3
1881,9,2,18.6,4.2
1881,9,3,17.6,7.1
1881,9,4,16.5,9.3
1881,9,5,15.9,11.8
1881,9,6,14.8,6.7
1881,9,7,14.3,10.1
1881,9,8,16.6,11.2
1881,9,9,16.6,11.7
1881,9,10,17.8,11.7
1881,9,11,15.3,10.4
1881,9,12,14.3,7.5
1881,9,13,17.1,3.5
1881,9,14,16.6,2.4
1881,9,15,16.7,5.2
1881,9,16,17.1,3
1881,9,17,12.7,7.1
1881,9,18,16.2,6.8
1881,9,19,18.6,4.9
1881,9,20,16.8,11.2
1881,9,21,16,6.3
1881,9,22,16.3,3.4
1881,9,23,16.2,6.5
1881,9,24,17.6,7.6
1881,9,25,18.2,7.3
1881,9,26,17.1,7.1
1881,9,27,15.7,7.7
1881,9,28,17.6,10.9
1881,9,29,18.5,13.8
1881,9,30,17.8,12.1
1881,10,1,17.1,12.8
1881,10,2,17.6,9.6
1881,10,3,16.1,5.7
1881,10,4,15.6,9.9
1881,10,5,11.9,9.2
1881,10,6,15.4,8.2
1881,10,7,17.2,11.3
1881,10,8,16.1,12.2
1881,10,9,12.6,8.9
1881,10,10,14.8,8.7
1881,10,11,15.6,11.6
1881,10,12,12.8,7.4
1881,10,13,15.8,7.6
1881,10,14,14.9,6.5
1881,10,15,11.6,1.1
1881,10,16,12.4,-1.3
1881,10,17,14.1,11
1881,10,18,13.8,11.2
1881,10,19,12.1,8.4
1881,10,20,9.4,7.6
1881,10,21,13.3,7.1
1881,10,22,13.4,9.8
1881,10,23,15.4,10.3
1881,10,24,13.3,11.3
1881,10,25,12.3,5.5
1881,10,26,8.9,3.3
1881,10,27,9.7,2.1
1881,10,28,9.1,-0.6
1881,10,29,7.9,-1.4
1881,10,30,8.3,-4.3
1881,10,31,10.2,1.8
1881,11,1,11.9,2.2
1881,11,2,11,5.2
1881,11,3,15.5,9.2
1881,11,4,15.4,11.5
1881,11,5,14.8,9.8
1881,11,6,14.8,10.6
1881,11,7,13.2,6.8
1881,11,8,15.2,12.1
1881,11,9,14.4,11.3
1881,11,10,14.4,12.4
1881,11,11,14.9,12.3
1881,11,12,14.2,11.3
1881,11,13,16.8,12.9
