Year,Month,Day,Max,Min
1850,10,1,NA,NA
1850,10,2,NA,NA
1850,10,3,NA,NA
1850,10,4,NA,NA
1850,10,5,NA,NA
1850,10,6,NA,NA
1850,10,7,NA,NA
1850,10,8,NA,NA
1850,10,9,NA,NA
1850,10,10,NA,NA
1850,10,11,NA,NA
1850,10,12,NA,NA
1850,10,13,NA,NA
1850,10,14,NA,NA
1850,10,15,NA,NA
1850,10,16,NA,NA
1850,10,17,NA,NA
1850,10,18,NA,NA
1850,10,19,16.1,12.7
1850,10,20,14.4,11.8
1850,10,21,12.8,8.2
1850,10,22,11.1,3.9
1850,10,23,12.8,7.6
1850,10,24,8.9,7.8
1850,10,25,9.4,4.1
1850,10,26,8.3,4.9
1850,10,27,11.1,4.9
1850,10,28,11.7,7.8
1850,10,29,9.4,6.7
1850,10,30,13.3,8
1850,10,31,NA,11.9
1850,11,1,NA,12.8
1850,11,2,NA,10.8
1850,11,3,13.9,10
1850,11,4,13.6,8.9
1850,11,5,13.3,8.8
1850,11,6,13.1,8.8
1850,11,7,12.1,11.1
1850,11,8,13.3,9.2
1850,11,9,14.4,9.4
1850,11,10,14.7,10
1850,11,11,14.2,11.1
1850,11,12,16.1,11.9
1850,11,13,13.9,12.7
1850,11,14,13.6,11.1
1850,11,15,13.9,11.1
1850,11,16,13.1,9.4
1850,11,17,11.1,6.7
1850,11,18,13.4,13.2
1850,11,19,14.7,8.3
1850,11,20,10,7.2
1850,11,21,10,8.3
1850,11,22,13.3,9.4
1850,11,23,13.3,8.6
1850,11,24,14.2,8.3
1850,11,25,13.3,8.2
1850,11,26,8.6,6.7
1850,11,27,8.6,4.4
1850,11,28,6,-1
1850,11,29,9.4,4.7
1850,11,30,10,7.8
1850,12,1,11.9,5.8
1850,12,2,12.8,11.3
1850,12,3,13,11.1
1850,12,4,13.3,10
1850,12,5,13.9,11
1850,12,6,13.3,8.9
1850,12,7,11.3,7.8
1850,12,8,11.7,8.8
1850,12,9,11.1,9.4
1850,12,10,13.3,9.4
1850,12,11,11.3,10.6
1850,12,12,11.4,7.2
1850,12,13,11.3,8
1850,12,14,10.1,5
1850,12,15,6.1,5
1850,12,16,8.9,5.2
1850,12,17,7.7,3.3
1850,12,18,7.8,5
1850,12,19,7.5,4.2
1850,12,20,5.8,-1.2
1850,12,21,10.6,9.4
1850,12,22,7.4,2.8
1850,12,23,8.9,7.2
1850,12,24,9.4,7.8
1850,12,25,10.6,6.6
1850,12,26,9.4,7.8
1850,12,27,10.6,8.8
1850,12,28,11.1,6.9
1850,12,29,10.7,8.9
1850,12,30,11.7,9.7
1850,12,31,13.3,12.8
